가게 이름,주소,음식 종류,가격,네이버 지도 별점,방문자 리뷰?,블로그 리뷰
무안낙지골,경기 수원시 영통구 청명남로12번길 28,한식,10000,4.05,245,35
담소소사골순대육개장 영통점,경기 수원시 영통구 청명남로 40,한식,9800,4.24,1461,123
역전할머니맥주 영통점,경기 수원시 영통구 반달로35번길 30 1층 역전할머니맥주,한식,4500,4.33,341,55
돼지새마을본부 영통점,경기 수원시 영통구 영일로21번길 8-17 1층,한식,22000,4.91,765,401
써브웨이 수원영통점,경기 수원시 영통구 봉영로 1623 122호,양식,9300,4.34,1358,34
빨강호랭이 영통점,경기 수원시 영통구 청명로 19,한식,4000,4.42,187,91
예랑,경기 수원시 영통구 매영로345번길 95 동아프라자 2층,한식,19000,4.22,460,1050
카인드엉클 영통본점,경기 수원시 영통구 청명남로 44 2층 카페 kind uncle,카페,17000,4.62,608,621
칭따오양꼬치 영통직영점,경기 수원시 영통구 매영로393번길 27,중식,13000,4.57,260,107
꿀꺽솥뚜껑삼겹살,경기 수원시 영통구 매영로393번길 28,한식,16000,4.75,197,314
홍루이젠 영통점,경기 수원시 영통구 매영로393번길 29,아시아음식,2600,4.39,446,19
대박회수산,경기 수원시 영통구 매영로393번길 30,일식,20000,4.45,113,59
교촌치킨 영통1호점,경기 수원시 영통구 매영로393번길 31,한식,23000,4.33,1047,36
봉평메밀영통점,경기 수원시 영통구 매영로393번길 32,한식,10000,4.22,314,80
명가장수촌,경기 수원시 영통구 매영로393번길 33,한식,10000,4.51,156,16
금커피별빙수 영통점,경기 수원시 영통구 매영로393번길 34,카페,12000,3.33,48,13
카페아라 ,경기 수원시 영통구 청명로21번길 19,카페,4900,4.72,226,157
카페 서천,경기 용인시 기흥구 서그내로49번길 13,카페,5000,4.45,821,1080
육장장이 영통점,경기 수원시 영통구 청명남로 32 월드프라자 2층,한식,19900,4.33,190,158
화이트스노우빙수 영통점,경기 수원시 영통구 영일로 5,카페,9000,4.49,330,94
베트남쌀국수 포포 & 월남쌈,경기 수원시 영통구 매영로415번길 42-16 1층,아시아음식,11000,4.46,294,61
심가네감자탕,경기 수원시 영통구 청명로 16,한식,10000,4.55,138,18
봉평메밀영통점,경기 수원시 영통구 매영로415번길 42-22,한식,10000,4.22,314,80
영통맛집 야들야들한보약족발 수원영통점,경기 수원시 영통구 청명로77번길 33,한식,39000,4.81,2422,624
